product_id,stock,last_updated
T001,25,2026-09-22T13:15:19.317233
T002,15,2026-09-22T13:15:19.317670
T003,10,2026-09-22T13:15:19.318859
T004,37,2026-09-22T13:15:19.349080
T005,8,2026-09-22T13:15:19.321524
T006,50,2026-09-22T13:15:19.322881
T007,3,2026-09-22T13:15:19.324105
T008,12,2026-09-22T13:15:19.325738
P001,30,2026-09-22T13:15:19.327108
P002,20,2026-09-22T13:15:19.329302
P003,15,2026-09-22T13:15:19.330499
P004,25,2026-09-22T13:15:19.331733
P005,18,2026-09-22T13:15:19.332877
P006,40,2026-09-22T13:15:19.334027
P007,22,2026-09-22T13:15:19.335202
P008,50,2026-09-22T13:15:19.339467
TL001,60,2026-09-22T13:15:19.340363
TL002,20,2026-09-22T13:15:19.342595
TL003,8,2026-09-22T13:15:19.344821
TL004,15,2026-09-22T13:15:19.346500
TL005,35,2026-09-22T13:15:19.347650
